DUMMY,taxon_order,category,species_code,primary_com_name,sci_name
,9536,species,tubmot1,Turquoise-browed Motmot,Eumomota superciliosa
,9544,spuh,motmot1,motmot sp.,Momotidae sp.
,9546,species,blykin1,Blyth's Kingfisher,Alcedo hercules
,9547,species,comkin1,Common Kingfisher,Alcedo atthis
,9548,issf,comkin2,Common Kingfisher (Common),Alcedo atthis [atthis Group]
,9554,issf,comkin3,Common Kingfisher (Cobalt-eared),Alcedo atthis hispidoides/salomonensis
,9557,species,hackin1,Half-collared Kingfisher,Alcedo semitorquata
,9561,species,shbkin1,Shining-blue Kingfisher,Alcedo quadribrachys
,9564,species,blekin1,Blue-eared Kingfisher,Alcedo meninting
,9571,slash,y00398,Common/Blue-eared Kingfisher,Alcedo atthis/meninting
,9572,species,bubkin1,Malaysian Blue-banded Kingfisher,Alcedo peninsulae
,9573,species,bubkin2,Javan Blue-banded Kingfisher,Alcedo euryzona
,9574,species,smbkin1,Small Blue Kingfisher,Alcedo coerulescens
,9575,species,azukin1,Azure Kingfisher,Ceyx azureus
,9583,species,biskin1,Bismarck Kingfisher,Ceyx websteri
,9584,species,inbkin2,Indigo-banded Kingfisher,Ceyx cyanopectus
,9585,issf,inbkin1,Indigo-banded Kingfisher (Northern),Ceyx cyanopectus cyanopectus
,9586,issf,inbkin3,Indigo-banded Kingfisher (Southern),Ceyx cyanopectus nigrirostris
,9587,species,norsik1,Northern Silvery-Kingfisher,Ceyx flumenicola
,9588,species,silkin1,Southern Silvery-Kingfisher,Ceyx argentatus
,9589,species,litkin1,Little Kingfisher,Ceyx pusillus
,9599,species,bkbkin1,Black-backed Dwarf-Kingfisher,Ceyx erithaca
,9602,species,rubkin1,Rufous-backed Dwarf-Kingfisher,Ceyx rufidorsa
,9607,slash,y00867,Black-backed/Rufous-backed Dwarf-Kingfisher,Ceyx erithaca/rufidorsa
,9608,species,phikin1,Philippine Dwarf-Kingfisher,Ceyx melanurus
,9609,issf,phidwk1,Philippine Dwarf-Kingfisher (Luzon),Ceyx melanurus melanurus
,9610,issf,phidwk2,Philippine Dwarf-Kingfisher (Samar),Ceyx melanurus samarensis
,9611,issf,phidwk3,Philippine Dwarf-Kingfisher (Mindanao),Ceyx melanurus mindanensis
,9612,species,suldwk1,Sangihe Dwarf-Kingfisher,Ceyx sangirensis
,9613,species,sulkin1,Sulawesi Dwarf-Kingfisher,Ceyx fallax
,9614,species,vardwk1,Dimorphic Dwarf-Kingfisher,Ceyx margarethae
,9615,species,vardwk2,Sula Dwarf-Kingfisher,Ceyx wallacii
,9616,species,varkin1,Moluccan Dwarf-Kingfisher,Ceyx lepidus
,9617,issf,vardwk3,Moluccan Dwarf-Kingfisher (North Moluccan),Ceyx lepidus uropygialis
,9618,issf,vardwk4,Moluccan Dwarf-Kingfisher (Seram),Ceyx lepidus lepidus
,9619,species,vardwk5,Buru Dwarf-Kingfisher,Ceyx cajeli
,9620,species,vardwk6,Papuan Dwarf-Kingfisher,Ceyx solitarius
,9621,species,vardwk7,Manus Dwarf-Kingfisher,Ceyx dispar
,9622,species,vardwk8,New Ireland Dwarf-Kingfisher,Ceyx mulcatus
,9623,species,vardwk9,New Britain Dwarf-Kingfisher,Ceyx sacerdotis
,9624,species,vardwk11,New Georgia Dwarf-Kingfisher,Ceyx collectoris
,9625,species,nosdwk1,North Solomons Dwarf-Kingfisher,Ceyx meeki
,9626,issf,vardwk10,North Solomons Dwarf-Kingfisher (Bougainville),Ceyx meeki pallidus
,9627,issf,vardwk12,North Solomons Dwarf-Kingfisher (North Solomons),Ceyx meeki meeki
,9628,species,guadwk1,Guadalcanal Dwarf-Kingfisher,Ceyx nigromaxilla
,9629,issf,vardwk13,Guadalcanal Dwarf-Kingfisher (Malaita),Ceyx nigromaxilla malaitae
,9630,issf,vardwk14,Guadalcanal Dwarf-Kingfisher (Guadalcanal),Ceyx nigromaxilla nigromaxilla
,9631,species,vardwk15,Makira Dwarf-Kingfisher,Ceyx gentianus
,9632,species,malkin1,Malachite Kingfisher,Corythornis cristatus
,9633,issf,malkin3,Malachite Kingfisher (Mainland),Corythornis cristatus [cristatus Group]
,9637,issf,malkin5,Malachite Kingfisher (Sao Tome),Corythornis cristatus thomensis
,9638,issf,malkin4,Malachite Kingfisher (Principe),Corythornis cristatus nais
,9639,species,malkin2,Malagasy Kingfisher,Corythornis vintsioides
,9642,species,whbkin1,White-bellied Kingfisher,Corythornis leucogaster
,9646,species,mapkin1,Madagascar Pygmy Kingfisher,Corythornis madagascariensis
,9649,species,afpkin1,African Pygmy Kingfisher,Ispidina picta
,9653,species,dwakin1,African Dwarf Kingfisher,Ispidina lecontei
,9656,species,bankin1,Banded Kingfisher,Lacedo pulchella
,9657,issf,bankin2,Banded Kingfisher (Banded),Lacedo pulchella [pulchella Group]
,9661,issf,bankin3,Banded Kingfisher (Black-faced),Lacedo pulchella melanops
,9662,species,laukoo1,Laughing Kookaburra,Dacelo novaeguineae
,9665,species,blwkoo1,Blue-winged Kookaburra,Dacelo leachii
,9670,species,spakoo1,Spangled Kookaburra,Dacelo tyro
,9673,species,rubkoo1,Rufous-bellied Kookaburra,Dacelo gaudichaud
,9674,species,shbkoo1,Shovel-billed Kookaburra,Dacelo rex
